studying	975.50068903	2016-09-26 09:59:27	2016-09-26 10:15:43
transition	1626.92777395	2016-09-26 10:05:48	2016-09-26 10:32:55
class	4300.14404297	2016-09-26 10:32:58	2016-09-26 11:44:38
transition	915.034363985	2016-09-26 11:44:47	2016-09-26 12:00:02
class	4459.23078108	2016-09-26 12:00:06	2016-09-26 13:14:25
transition	2339.05799794	2016-09-26 13:14:30	2016-09-26 13:53:29
class	4506.67250299	2016-09-26 13:53:32	2016-09-26 15:08:39
break	2314.20868802	2016-09-26 15:08:53	2016-09-26 15:47:27
ifc meeting	7898.34078884	2016-09-26 15:47:35	2016-09-26 17:59:13
transition	746.191390038	2016-09-26 17:59:17	2016-09-26 18:11:43
tutoring	1309.82933307	2016-09-26 18:11:52	2016-09-26 18:33:42
break	1288.78235698	2016-09-26 18:33:45	2016-09-26 18:55:14
transition	592.707884073	2016-09-26 18:55:21	2016-09-26 19:05:14
studying	3235.82648587	2016-09-26 19:05:18	2016-09-26 19:59:13
break	2321.169523	2016-09-26 19:59:18	2016-09-26 20:37:59
